domain,signals,complexity,key_concerns,required_knowledge,suggested_workflow,web_searches,special_sections
healthcare,"medical,diagnostic,clinical,FDA,patient,treatment,HIPAA,therapy,pharma,drug,医疗,诊断,临床,患者,治疗,药物",high,"FDA 批准;临床验证;HIPAA 合规;患者安全;医疗器械分类;责任","监管途径;临床试验设计;医疗标准;数据隐私;集成要求","domain-research","FDA software medical device guidance {date};HIPAA compliance software requirements;Medical software standards {date};Clinical validation software","clinical_requirements;regulatory_pathway;validation_methodology;safety_measures"
fintech,"payment,banking,trading,investment,crypto,wallet,transaction,KYC,AML,funds,fintech,支付,银行,交易,投资,加密货币,钱包,资金",high,"区域合规;安全标准;审计要求;欺诈预防;数据保护","KYC/AML 要求;PCI DSS;开放银行;区域法律 (US/EU/APAC);加密货币法规","domain-research","fintech regulations {date};payment processing compliance {date};open banking API standards;cryptocurrency regulations {date}","compliance_matrix;security_architecture;audit_requirements;fraud_prevention"
govtech,"government,federal,civic,public sector,citizen,municipal,voting,政府,联邦,公民,公共部门,市政,投票",high,"采购规则;安全许可;无障碍 (508);FedRAMP;隐私;透明度","政府采购;安全框架;无障碍标准;隐私法律;开放数据要求","domain-research","government software procurement {date};FedRAMP compliance requirements;section 508 accessibility;government security standards","procurement_compliance;security_clearance;accessibility_standards;transparency_requirements"
edtech,"education,learning,student,teacher,curriculum,assessment,K-12,university,LMS,教育,学习,学生,教师,课程,评估,大学",medium,"学生隐私 (COPPA/FERPA);无障碍;内容审核;年龄验证;课程标准","教育隐私法;学习标准;无障碍要求;内容指南;评估有效性","domain-research","educational software privacy {date};COPPA FERPA compliance;WCAG education requirements;learning management standards","privacy_compliance;content_guidelines;accessibility_features;curriculum_alignment"
aerospace,"aircraft,spacecraft,aviation,drone,satellite,propulsion,flight,radar,navigation,航空器,航天器,航空,无人机,卫星,推进,飞行,雷达,导航",high,"安全认证;DO-178C 合规;性能验证;仿真精度;出口管制","航空标准;安全分析;仿真验证;ITAR/出口管制;性能要求","domain-research + technical-model","DO-178C software certification;aerospace simulation standards {date};ITAR export controls software;aviation safety requirements","safety_certification;simulation_validation;performance_requirements;export_compliance"
automotive,"vehicle,car,autonomous,ADAS,automotive,driving,EV,charging,车辆,汽车,自动驾驶,驾驶,电动汽车,充电",high,"安全标准;ISO 26262;V2X 通信;实时要求;认证","汽车标准;功能安全;V2X 协议;实时系统;测试要求","domain-research","ISO 26262 automotive software;automotive safety standards {date};V2X communication protocols;EV charging standards","safety_standards;functional_safety;communication_protocols;certification_requirements"
scientific,"research,algorithm,simulation,modeling,computational,analysis,data science,ML,AI,研究,算法,仿真,建模,计算,分析,数据科学,人工智能",medium,"可重复性;验证方法;同行评审;性能;准确性;计算资源","科学方法;统计有效性;计算要求;领域专业知识;出版标准","technical-model","scientific computing best practices {date};research reproducibility standards;computational modeling validation;peer review software","validation_methodology;accuracy_metrics;reproducibility_plan;computational_requirements"
legaltech,"legal,law,contract,compliance,litigation,patent,attorney,court,法律,法,合同,合规,诉讼,专利,律师,法院",high,"法律道德;律师协会规定;数据保留;律师-客户特权;法院系统集成","法律实践规则;道德要求;法院备案系统;文件标准;保密性","domain-research","legal technology ethics {date};law practice management software requirements;court filing system standards;attorney client privilege technology","ethics_compliance;data_retention;confidentiality_measures;court_integration"
insuretech,"insurance,claims,underwriting,actuarial,policy,risk,premium,保险,理赔,承保,精算,保单,风险,保费",high,"保险法规;精算标准;数据隐私;欺诈检测;州合规","各州保险法规;精算方法;风险建模;理赔处理;监管报告","domain-research","insurance software regulations {date};actuarial standards software;insurance fraud detection;state insurance compliance","regulatory_requirements;risk_modeling;fraud_detection;reporting_compliance"
energy,"energy,utility,grid,solar,wind,power,electricity,oil,gas,能源,公用事业,电网,太阳能,风能,电力,石油,天然气",high,"电网合规;NERC 标准;环境法规;安全要求;实时操作","能源法规;电网标准;环境合规;安全协议;SCADA 系统","domain-research","energy sector software compliance {date};NERC CIP standards;smart grid requirements;renewable energy software standards","grid_compliance;safety_protocols;environmental_compliance;operational_requirements"
gaming,"game,player,gameplay,level,character,multiplayer,quest,游戏,玩家,玩法,关卡,角色,多人,任务",redirect,"REDIRECT TO GAME WORKFLOWS","Game design","game-brief","NA","NA"
general,"",low,"标准要求;基本安全;用户体验;性能","通用软件实践","continue","software development best practices {date}","standard_requirements"